Team,Tournament,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Bayern Munich,Bundesliga,49,20.5,181,66.4,87.1,12.1,7.03
2. Paris Saint-Germain,Ligue 1,43,15.9,271,60.4,90.5,6.9,7.02
3. Manchester City,Premier League,40,17.6,111,66.6,89.4,13.4,6.96
4. Barcelona,LaLiga,33,16.9,313,64.9,88.8,10.4,6.93
5. Arsenal,Premier League,33,15.9,230,58.1,85.6,11.1,6.86
6. Napoli,Serie A,37,18.1,200,60,86.8,12.9,6.86
7. Real Madrid,LaLiga,33,17.4,221,58.2,90.1,8,6.82
8. Newcastle,Premier League,29,14.5,240,50.8,78.8,13.9,6.81
9. Juventus,Serie A,24,13.1,274,49.9,83.6,11.6,6.76
10. Monaco,Ligue 1,29,12.3,294,45.4,80.6,12,6.75
11. Liverpool,Premier League,28,17.1,121,61.7,83.3,12.9,6.74
12. Tottenham,Premier League,31,14.7,261,50.2,84.4,12.3,6.74
13. Lazio,Serie A,26,10.7,311,50.9,84.8,9.2,6.74
14. AC Milan,Serie A,29,16.7,342,53.8,81.1,14.7,6.74
15. Lens,Ligue 1,26,14.3,271,57.4,86.6,10.5,6.74
16. Rennes,Ligue 1,31,14.9,274,55.2,84,16.1,6.74
17. Lorient,Ligue 1,26,11.9,161,43.2,81.8,11.7,6.73
18. Borussia Dortmund,Bundesliga,25,14.1,350,57,83.2,12.5,6.71
19. Lyon,Ligue 1,23,13.7,222,58.6,85.3,11.6,6.71
20. Marseille,Ligue 1,26,13.4,272,54.9,83,12.2,6.71
21. Manchester United,Premier League,20,13.8,370,51.8,81.1,13.5,6.69
22. Freiburg,Bundesliga,25,13.2,230,49.8,78.5,20.6,6.69
23. Borussia M.Gladbach,Bundesliga,28,11.9,271,53.2,82.3,12.1,6.69
24. RB Leipzig,Bundesliga,30,14.6,241,58.2,83.8,12.1,6.69
25. Lille,Ligue 1,27,14.7,351,57.8,84.9,13.1,6.68
26. Atletico Madrid,LaLiga,21,13.7,412,49.2,83.7,12.7,6.67
27. Inter,Serie A,34,15.7,270,54.6,84.9,12.5,6.67
28. Athletic Bilbao,LaLiga,24,15.8,231,52.4,81.6,12,6.65
29. Leicester,Premier League,25,11.3,190,50.7,83.2,12.3,6.64
30. Eintracht Frankfurt,Bundesliga,32,12.7,211,50.8,78.5,11.4,6.64
31. Wolfsburg,Bundesliga,24,11.6,310,49.3,77.9,15.3,6.63
32. Roma,Serie A,18,13.7,270,50.4,82.3,12.1,6.63
33. Udinese,Serie A,24,13.5,371,49.1,81.4,13.2,6.63
34. Brighton,Premier League,23,13.9,190,55.4,83.1,12,6.63
35. Villarreal,LaLiga,15,11.5,302,52.2,85,9.5,6.63
36. Chelsea,Premier League,17,11.1,302,58.5,84.4,13.7,6.62
37. Real Betis,LaLiga,17,10.5,297,50.2,83.1,10.3,6.62
38. Atalanta,Serie A,22,12.4,411,46.2,77.5,15.4,6.61
39. Everton,Premier League,11,10.5,330,44.5,78.7,12.4,6.6
40. Werder Bremen,Bundesliga,25,11.5,291,50.6,76.4,16.2,6.6
41. Valencia,LaLiga,22,14.2,364,58.6,83.6,12.9,6.6
42. Real Sociedad,LaLiga,19,13.1,411,56.1,83.3,16,6.6
43. Crystal Palace,Premier League,15,11,330,47.5,81.5,12.6,6.6
44. Toulouse,Ligue 1,20,11.8,202,50.4,80.5,13.8,6.6
45. Reims,Ligue 1,16,13.2,348,42.6,76.7,11.4,6.6
46. Leeds,Premier League,22,13,252,50.6,76.6,14.9,6.59
47. Hertha Berlin,Bundesliga,19,12,361,42.6,73.3,18.3,6.59
48. Fulham,Premier League,24,12.1,361,45.6,78,15.1,6.59
49. Nice,Ligue 1,15,11.9,223,52,85.3,11.1,6.59
50. Union Berlin,Bundesliga,24,11.5,261,42.3,74.2,21.3,6.59
51. Brentford,Premier League,23,10.4,210,44.3,76.2,16.3,6.58
52. West Ham,Premier League,12,13.5,190,45,80.2,14.7,6.57
53. Fiorentina,Serie A,18,15.7,351,58.7,83.2,16,6.57
54. Troyes,Ligue 1,26,13.6,282,42.7,82.4,11.7,6.57
55. Hoffenheim,Bundesliga,22,13.4,322,50.4,79.6,11.8,6.57
56. Nantes,Ligue 1,17,12.1,214,46.3,80.1,15.5,6.56
57. Clermont Foot,Ligue 1,19,10.3,321,50.3,82,11.4,6.55
58. Bayer Leverkusen,Bundesliga,25,11.9,274,51.9,82,11.5,6.54
59. VfB Stuttgart,Bundesliga,18,13.8,333,47.4,79.1,15.3,6.54
60. Mallorca,LaLiga,13,9.4,592,40.4,78.6,12.4,6.54
